FR14228	SGB Finance
FR42529	Edmond de Rothschild (France)
FR14690	Monabanq.
FR14706	Caisse régionale de crédit agricole mutuel Atlantique Vendée
FR14707	Banque populaire Alsace Lorraine Champagne
FR14749	BANQUE STELLANTIS FRANCE
FR14806	Caisse régionale de crédit agricole mutuel Centre Loire
FR14879	Bank of India
FR14888	BPCE International et Outremer (BPCE IOM)
FR14908	Banca popolare di Sondrio (Suisse)
FR14940	Cofidis
FR14989	KEB Hana Bank
FR15068	Bank Pictet & Cie (Europe) AG
FR15078	MGF
FR15128	Volkswagen Bank GmbH
FR15135	CAISSE D'EPARGNE ET DE PREVOYANCE GRAND EST EUROPE
FR15148	Mediobanca - Banca di credito finanziario S.p.A.
FR15149	Crédit foncier et communal d'Alsace et de Lorraine-Banque
FR15208	Crédit municipal de Paris
FR15250	SMBC Bank International plc
FR15258	The Governor and company of the bank of Ireland (Bank of Ireland)
FR15448	IC Financial services
FR15449	Caisse de Bretagne de crédit mutuel agricole
FR15458	Joh. Berenberg, Gossler & Co. KG
FR15489	Caisse fédérale du crédit mutuel de Maine-Anjou et Basse-Normandie
FR15519	Caisse fédérale du crédit mutuel Océan
FR15589	Crédit mutuel Arkéa
FR15638	ANDBANK MONACO S.A.M.
FR15668	BNP Paribas home loan SFH
FR15848	Crédit Mutuel Home Loan SFH
FR15898	Crédit Agricole home loan SFH
FR15900	FEDERAL FINANCE
FR15930	BPCE Payment Services
FR15968	Société Générale SCF
FR16000	Diac
FR16006	Caisse régionale de crédit agricole mutuel du Morbihan
FR16038	BANQUE HAVILLAND (MONACO) S.A.M.
FR16048	Ebi SA
FR16058	CCF SFH
FR16068	Landesbank Hessen-Thüringen Girozentrale (Helaba)
FR16088	Arkéa Home Loans SFH
FR16106	Caisse régionale de crédit agricole mutuel de Lorraine
FR16158	BGFIBANK EUROPE
FR16168	BOA France
FR16170	Caisse de crédit municipal de Boulogne-sur-Mer
FR16188	BPCE
FR16190	BPCE lease immo
FR16200	Caisse de crédit municipal de Nice
FR16208	GE SCF
FR16218	Bforbank
FR16228	Société générale SFH
FR16278	Natixis TradEx Solutions
FR16298	Arkéa banking services
FR16318	CRELAN HOME LOAN SCF
FR16358	Arkéa public sector SCF
FR16438	BPCE SFH
FR16468	Crédit Agricole Public Sector SCF
FR16488	YOUNITED
FR16560	Caisse de crédit municipal de Bordeaux
FR16588	SFIL S.A.
FR16606	Caisse régionale de crédit agricole mutuel de Normandie
FR16607	Banque populaire du Sud
FR16700	Cicobail
FR16706	Caisse régionale de crédit agricole mutuel Nord de France
FR16806	Caisse régionale de crédit agricole mutuel de Centre France - Crédit agricole  Centre France (3ème du nom)
FR16807	BANQUE POPULAIRE AUVERGNE RHONE ALPES
FR16850	Crédit agricole leasing & factoring
FR16906	Caisse régionale de crédit agricole mutuel Pyrénées-Gascogne
FR16989	Mobilis banque
FR17060	SOCIETE GENERALE Factoring
FR17100	Caisse de crédit municipal de Strasbourg
FR17106	Caisse régionale de crédit agricole mutuel Sud-Méditerranée (Ariège et Pyrénées-Orientales)
FR17150	Caisse de crédit municipal de Toulon
FR17206	Caisse régionale de crédit agricole mutuel Alsace Vosges
FR17439	SOFIDER
FR17510	Créatis
FR17515	Caisse d'épargne et de prévoyance Ile-de-France
FR17519	Banque centrale de compensation
FR17549	Natiocrédibail
FR17569	CMB MONACO
FR17579	Bank Tejarat
FR17599	Banque Banorient France
FR17619	BEMO EUROPE - BANQUE PRIVEE
FR17620	Caisse de crédit municipal de Nîmes
FR17629	Commerzbank ag
FR17660	Généfim
FR17679	Société de banque et d'expansion - S.B.E. (2ème du nom)
FR17779	Banque SBA
FR17789	Deutsche Bank AG
FR17799	Bank Sepah
FR17806	Caisse régionale de crédit agricole mutuel Centre-Est
FR17807	Banque populaire Occitane
FR17839	Stellantis Bank
